			*****	 Throughput (packets/s)	*****


Time (sec)	Node 1	Node 2	Node 3	Node 4	Node 5	Node 6	Node 7	Node 8	Node 9	Node 10	Node 11	Node 12	Node 13	Node 14	Node 15	Node 16	Node 17	Node 18	Node 19	Node 20	System
1.6		0	0	0	0	33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33
1.6		0	0	0	0	0	0	0	0	0	0	0	0	0	0	33	0	0	0	0	0	33
1.6		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1.7		0	0	0	33	0	0	0	0	0	0	33	0	0	33	0	0	0	0	0	0	100
1.7		0	0	0	0	0	0	0	0	0	0	0	0	0	33	0	0	0	0	0	0	33
1.7		0	0	0	0	0	0	0	0	0	0	0	0	0	33	0	0	0	0	0	0	33
1.8		0	0	66	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33	0	0	100
1.8		0	0	0	0	0	0	0	0	0	33	0	0	0	0	0	33	0	0	0	0	66
1.8		0	0	0	0	0	33	0	0	0	0	0	33	0	0	0	0	0	0	0	0	66
1.9		0	0	0	0	0	0	0	0	33	0	0	0	0	0	0	33	0	0	0	0	66
1.9		0	0	0	0	0	0	33	0	0	0	0	0	0	0	0	33	0	0	0	33	100
1.9		0	0	0	0	0	0	0	0	0	0	0	0	0	0	33	0	0	0	0	0	33
1.9		0	0	0	0	33	0	0	0	0	0	0	0	0	0	0	0	0	33	0	0	66
2.0		0	0	0	0	0	0	33	0	0	0	33	0	0	0	0	0	0	0	0	0	66
2.0		0	0	0	0	0	0	0	33	0	0	0	0	0	0	0	0	0	0	0	0	33
2.0		0	0	0	0	33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33
2.1		0	0	0	0	0	0	0	0	0	33	0	0	0	0	0	0	0	0	0	0	33
2.1		0	0	33	0	0	0	0	0	0	0	0	66	0	0	0	0	0	0	0	0	100
2.1		0	0	33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33
2.2		0	0	0	33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33
2.2		0	33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33
2.2		0	0	0	0	33	0	0	0	0	0	0	0	0	0	0	33	0	0	0	0	66
2.3		0	0	0	33	0	0	0	0	0	0	0	0	0	33	0	0	0	0	0	0	66
2.3		0	33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33	66
2.3		0	0	0	0	0	0	33	0	0	0	0	0	33	0	0	0	0	0	0	0	66
2.3		0	33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33
2.4		0	0	0	0	0	0	33	0	33	0	0	0	0	0	0	0	0	0	0	0	66
2.4		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33	0	0	0	0	33
2.4		0	33	0	0	0	0	0	0	0	0	0	0	0	0	33	0	0	0	0	0	66
2.5		0	0	0	0	0	0	0	0	0	0	0	0	33	0	0	0	0	0	0	0	33
2.5		0	0	0	0	0	0	0	33	0	0	0	0	0	0	0	0	0	0	0	0	33
2.5		0	0	0	33	0	0	0	0	0	0	0	0	0	0	0	0	0	33	0	0	66
2.5		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33	0	33	0	66
2.6		0	0	0	0	0	0	0	0	0	33	0	0	0	0	0	0	0	0	33	0	66
2.6		0	0	0	0	0	0	0	0	0	33	0	0	0	0	0	0	0	0	0	0	33
2.6		0	0	0	0	0	0	0	0	66	0	0	33	0	0	0	0	0	0	0	0	100
2.7		0	0	33	0	0	0	0	0	0	0	0	0	0	33	0	0	0	0	0	0	66
2.7		0	0	0	0	0	0	0	0	0	33	0	0	0	0	0	0	0	0	0	0	33
2.7		0	0	0	0	0	0	0	0	0	0	33	0	0	0	0	0	0	0	0	0	33
2.8		0	33	0	0	0	0	0	0	0	33	0	0	0	0	0	0	0	0	0	0	66
2.8		0	0	0	0	0	0	33	0	0	0	0	0	0	0	0	0	0	0	0	0	33
2.8		0	0	0	33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33
2.8		0	33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33
2.9		0	0	0	0	0	0	0	0	0	0	0	33	33	0	0	0	0	0	0	0	66
2.9		0	0	0	0	0	0	0	0	0	0	0	0	0	33	0	33	0	0	0	0	66
2.9		0	33	0	0	0	0	33	0	0	0	0	0	0	0	0	0	0	0	0	33	100
3.0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33	0	0	33
3.0		0	0	33	0	0	33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	66
